,precinct_of_occur,All Summonses,CJRA Summonses,CJRA % of Total Summonses,Total population,All Summonses per 10K,CJRA Summonses per 10K
0,1,914,8.0,0.9,84810.0,107.8,0.9
1,5,637,218.0,34.2,49438.0,128.8,44.1
2,6,497,57.0,11.5,64231.0,77.4,8.9
3,7,443,57.0,12.9,59126.0,74.9,9.6
4,9,345,66.0,19.1,76363.0,45.2,8.6
5,10,529,47.0,8.9,65298.0,81.0,7.2
6,13,787,83.0,10.5,100285.0,78.5,8.3
7,14,4488,670.0,14.9,28410.0,1579.7,235.8
8,17,926,166.0,17.9,89457.0,103.5,18.6
9,18,3180,154.0,4.8,67484.0,471.2,22.8
10,19,487,18.0,3.7,220261.0,22.1,0.8
11,20,142,6.0,4.2,114240.0,12.4,0.5
12,22,54,19.0,35.2,,,
13,23,1235,446.0,36.1,74751.0,165.2,59.7
14,24,376,43.0,11.4,107520.0,35.0,4.0
15,25,832,209.0,25.1,49718.0,167.3,42.0
16,26,365,29.0,7.9,49320.0,74.0,5.9
17,28,1093,269.0,24.6,49773.0,219.6,54.0
18,30,393,22.0,5.6,60593.0,64.9,3.6
19,32,1253,236.0,18.8,80667.0,155.3,29.3
20,33,844,121.0,14.3,71716.0,117.7,16.9
21,34,1623,126.0,7.8,108462.0,149.6,11.6
22,40,5080,1179.0,23.2,103102.0,492.7,114.4
23,41,2164,477.0,22.0,54451.0,397.4,87.6
24,42,1901,666.0,35.0,93435.0,203.5,71.3
25,43,1520,434.0,28.6,188367.0,80.7,23.0
26,44,2395,298.0,12.4,148541.0,161.2,20.1
27,45,1287,91.0,7.1,130467.0,98.6,7.0
28,46,1616,252.0,15.6,132540.0,121.9,19.0
29,47,2598,391.0,15.1,163296.0,159.1,23.9
30,48,1003,336.0,33.5,87237.0,115.0,38.5
31,49,1048,31.0,3.0,120156.0,87.2,2.6
32,50,491,27.0,5.5,106999.0,45.9,2.5
33,52,3091,1501.0,48.6,148585.0,208.0,101.0
34,60,1211,518.0,42.8,109119.0,111.0,47.5
35,61,716,102.0,14.2,169272.0,42.3,6.0
36,62,731,446.0,61.0,198735.0,36.8,22.4
37,63,648,36.0,5.6,112824.0,57.4,3.2
38,66,438,85.0,19.4,205371.0,21.3,4.1
39,67,3502,1449.0,41.4,163110.0,214.7,88.8
40,68,666,283.0,42.5,136646.0,48.7,20.7
41,69,2476,773.0,31.2,90675.0,273.1,85.2
42,70,3502,1067.0,30.5,164685.0,212.6,64.8
43,71,1864,864.0,46.4,101806.0,183.1,84.9
44,72,2552,1310.0,51.3,132674.0,192.4,98.7
45,73,4786,2190.0,45.8,97775.0,489.5,224.0
46,75,4202,1401.0,33.3,201043.0,209.0,69.7
47,76,3266,141.0,4.3,47712.0,684.5,29.6
48,77,515,130.0,25.2,101252.0,50.9,12.8
49,78,499,38.0,7.6,72767.0,68.6,5.2
50,79,1367,459.0,33.6,105588.0,129.5,43.5
51,81,2439,1218.0,49.9,69040.0,353.3,176.4
52,83,786,426.0,54.2,120741.0,65.1,35.3
53,84,669,191.0,28.6,67676.0,98.9,28.2
54,88,1935,193.0,10.0,63292.0,305.7,30.5
55,90,1728,823.0,47.6,131838.0,131.1,62.4
56,94,203,45.0,22.2,72287.0,28.1,6.2
57,100,397,196.0,49.4,50797.0,78.2,38.6
58,101,293,115.0,39.2,73364.0,39.9,15.7
59,102,1199,49.0,4.1,152669.0,78.5,3.2
60,103,2232,453.0,20.3,121711.0,183.4,37.2
61,104,532,75.0,14.1,178665.0,29.8,4.2
62,105,824,50.0,6.1,199279.0,41.3,2.5
63,106,527,86.0,16.3,129581.0,40.7,6.6
64,107,492,13.0,2.6,160657.0,30.6,0.8
65,108,855,98.0,11.5,139080.0,61.5,7.0
66,109,1016,121.0,11.9,269767.0,37.7,4.5
67,110,3408,2601.0,76.3,179146.0,190.2,145.2
68,111,149,8.0,5.4,121849.0,12.2,0.7
69,112,135,7.0,5.2,120356.0,11.2,0.6
70,113,1038,252.0,24.3,130230.0,79.7,19.4
71,114,1721,884.0,51.4,208486.0,82.5,42.4
72,115,2909,2096.0,72.1,179391.0,162.2,116.8
73,120,1024,593.0,57.9,122663.0,83.5,48.3
74,121,559,68.0,12.2,128302.0,43.6,5.3
75,122,571,11.0,1.9,144043.0,39.6,0.8
76,123,310,0.0,0.0,100673.0,30.8,0.0
