,SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,New Georeferenced Column,quarter,year
367,138427212,2014-08-26,JAYWALKING,4-04,Traffic Regs,TRAFFIC REGS,<18,M,UNKNOWN,0,BRONX,40,1009926.0,235436.0,40.81286413000004,-73.90724512299995,POINT (-73.90724512299995 40.81286413000004),,2014 Q3,2014
1127,213790451,2020-06-02,PEDESTRIAN WALKING INTO TRAFFIC UNSAFELY,,,,18-24,M,WHITE,0,MANHATTAN,1,980042.0,197397.0,40.70849314,-74.01517933,POINT (-74.01517933 40.70849314),,2020 Q2,2020
1857,207742337,2020-01-10,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BRONX,43,1026201.0,238332.0,40.82075054,-73.84843255,POINT (-73.84843255 40.82075054),,2020 Q1,2020
2186,210532164,2020-03-03,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,67,999411.0,172008.0,40.63879405,-73.94537416,POINT (-73.94537416 40.63879405),,2020 Q1,2020
2412,209841289,2020-02-18,JAYWALKING,,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BRONX,44,1005715.0,245991.0,40.84184582,-73.92242388,POINT (-73.92242388 40.84184582),,2020 Q1,2020
3342,209361953,2020-02-11,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,67,1005953.0,177006.0,40.65249887,-73.92178632,POINT (-73.92178632 40.65249887),,2020 Q1,2020
3356,211745991,2020-04-04,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,BRONX,48,1014957.0,246924.0,40.84437933,-73.88901773,POINT (-73.88901773 40.84437933),,2020 Q2,2020
3432,211509699,2020-03-26,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,81,1005766.0,187469.0,40.68121793,-73.92242685,POINT (-73.92242685 40.68121793),,2020 Q1,2020
3559,210381987,2020-03-02,PEDESTRIAN WALKING INTO TRAFFIC UNSAFELY,,,,18-24,M,BLACK,0,BROOKLYN,81,1004919.0,187068.0,40.68011929,-73.92548189,POINT (-73.92548189 40.68011929),,2020 Q1,2020
3628,209826840,2020-02-19,JAYWALKING,,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE HISPANIC,2,MANHATTAN,9,990468.0,202169.0,40.72158996,-73.97756926,POINT (-73.97756926 40.72158996),,2020 Q1,2020
3811,210532163,2020-03-03,JAYWALKING,,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,BROOKLYN,67,999411.0,172008.0,40.63879405,-73.94537416,POINT (-73.94537416 40.63879405),,2020 Q1,2020
3817,211556916,2020-03-28,JAYWALKING,,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,QUEENS,113,1044430.0,188652.0,40.68428657,-73.78301604,POINT (-73.78301604 40.68428657),,2020 Q1,2020
4279,210941460,2020-03-09,JAYWALKING,,Traffic Regs,TRAFFIC REGS,45-64,M,WHITE HISPANIC,0,BRONX,41,1016095.0,233935.0,40.80872422,-73.88496633,POINT (-73.88496633 40.80872422),,2020 Q1,2020
4661,232889849,2021-08-28,JAYWALKING,4-04,Traffic Regs,TRAFFIC REGS,45-64,M,WHITE HISPANIC,0,BROOKLYN,90,1062495.0,210472.0,40.74403569900005,-73.71762755099996,POINT (-73.71762755099996 40.74403569900005),,2021 Q3,2021
4805,233749112,2021-09-17,JAYWALKING,4-04,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,67,1003995.0,168121.0,40.62811603400007,-73.92886872299994,POINT (-73.92886872299994 40.62811603400007),,2021 Q3,2021
4946,208968980,2020-01-30,JAYWALKING,,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK HISPANIC,2,MANHATTAN,9,991014.0,203154.0,40.72429314,-73.97559851,POINT (-73.97559851 40.72429314),,2020 Q1,2020
5195,210517107,2020-03-04,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK HISPANIC,0,BRONX,52,1014313.0,254676.0,40.86565846,-73.89131056,POINT (-73.89131056 40.86565846),,2020 Q1,2020
5389,209705006,2020-02-14,JAYWALKING,,Traffic Regs,TRAFFIC REGS,45-64,M,WHITE HISPANIC,2,MANHATTAN,9,990468.0,202169.0,40.72158996,-73.97756926,POINT (-73.97756926 40.72158996),,2020 Q1,2020
6665,235881759,2021-11-04,JAYWALKING,4-04,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BRONX,42,983296.0,186687.0,40.67909761100003,-74.00344092199998,POINT (-74.00344092199998 40.67909761100003),,2021 Q4,2021
6731,210195936,2020-02-27,JAYWALKING,,Traffic Regs,TRAFFIC REGS,45-64,M,BLACK,0,BRONX,40,1011189.0,238333.0,40.82081182,-73.90267082,POINT (-73.90267082 40.82081182),,2020 Q1,2020
6792,199032360,2019-06-27,JAYWALKING,4-04,Traffic Regs,TRAFFIC REGS,UNKNOWN,M,WHITE HISPANIC,0,NEW YORK,33,1003105.0,247798.0,40.84681146600008,-73.93185170499999,POINT (-73.93185170499999 40.84681146600008),,2019 Q2,2019
6823,210430489,2020-03-03,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BRONX,42,1010710.0,243025.0,40.83369146,-73.90438295,POINT (-73.90438295 40.83369146),,2020 Q1,2020
6878,206917916,2020-01-03,JAYWALKING,,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BRONX,41,1013228.0,241009.0,40.82815022,-73.89529236,POINT (-73.89529236 40.82815022),,2020 Q1,2020
6974,210792076,2020-03-10,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BRONX,40,1009702.0,236693.0,40.81631489,-73.90804957,POINT (-73.90804957 40.81631489),,2020 Q1,2020
6981,208036054,2020-01-08,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,MANHATTAN,9,990407.0,202058.0,40.72128533,-73.97778942,POINT (-73.97778942 40.72128533),,2020 Q1,2020
8022,234757122,2021-10-07,JAYWALKING,4-04,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BRONX,40,1004544.0,235022.0,40.81174181800003,-73.92668921299997,POINT (-73.92668921299997 40.81174181800003),,2021 Q4,2021
8269,210160124,2020-02-26,JAYWALKING,,Traffic Regs,TRAFFIC REGS,<18,M,WHITE HISPANIC,2,BRONX,40,1007097.0,236856.0,40.8167694,-73.91746024,POINT (-73.91746024 40.8167694),,2020 Q1,2020
8695,206904167,2020-01-02,JAYWALKING,,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,2,MANHATTAN,9,990372.0,201996.0,40.72111518,-73.97791575,POINT (-73.97791575 40.72111518),,2020 Q1,2020
8922,211539519,2020-03-27,JAYWALKING,,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BROOKLYN,73,1009004.0,180575.0,40.66228699,-73.91077777,POINT (-73.91077777 40.66228699),,2020 Q1,2020
9120,212510509,2020-04-28,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK HISPANIC,0,BRONX,52,1011918.0,255536.0,40.86802673,-73.89996597,POINT (-73.89996597 40.86802673),,2020 Q2,2020
9520,208032468,2020-01-15,JAYWALKING,,Traffic Regs,TRAFFIC REGS,45-64,M,WHITE HISPANIC,2,MANHATTAN,9,990311.0,201886.0,40.7208133,-73.97813591,POINT (-73.97813591 40.7208133),,2020 Q1,2020
9604,207575397,2020-01-04,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,U,BLACK,2,BRONX,40,1005947.0,235372.0,40.81269914,-73.92161974,POINT (-73.92161974 40.81269914),,2020 Q1,2020
9781,210241312,2020-02-29,PEDESTRIAN WALKING INTO TRAFFIC UNSAFELY,,,,18-24,M,WHITE HISPANIC,0,BRONX,41,1013208.0,239093.0,40.82289142,-73.8953729,POINT (-73.8953729 40.82289142),,2020 Q1,2020
9851,211509700,2020-03-26,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,81,1005766.0,187469.0,40.68121793,-73.92242685,POINT (-73.92242685 40.68121793),,2020 Q1,2020
10315,207946025,2020-01-07,JAYWALKING,,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BRONX,40,1005170.0,235308.0,40.81252535,-73.92442689,POINT (-73.92442689 40.81252535),,2020 Q1,2020
