,RACE,quarter,Count,Total Summonses This Quarter,Percent of Total
0,Non-White,2017 Q1,124,140,88.57
1,Non-White,2017 Q2,121,130,93.08
2,Non-White,2017 Q3,61,70,87.14
3,Non-White,2017 Q4,94,100,94.0
4,Non-White,2018 Q1,51,61,83.61
5,Non-White,2018 Q2,54,61,88.52
6,Non-White,2018 Q3,62,71,87.32
7,Non-White,2018 Q4,53,60,88.33
8,Non-White,2019 Q1,91,104,87.5
9,Non-White,2019 Q2,111,118,94.07
10,Non-White,2019 Q3,81,86,94.19
11,Non-White,2019 Q4,67,71,94.37
12,Non-White,2020 Q1,69,69,100.0
13,Non-White,2020 Q2,28,33,84.85
14,Non-White,2020 Q3,7,8,87.5
15,Non-White,2020 Q4,3,5,60.0
16,Non-White,2021 Q1,9,13,69.23
17,Non-White,2021 Q2,6,8,75.0
18,Non-White,2021 Q3,6,8,75.0
19,Non-White,2021 Q4,9,10,90.0
20,Non-White,2022 Q1,16,17,94.12
21,Non-White,2022 Q2,20,25,80.0
22,Non-White,2022 Q3,37,40,92.5
23,Non-White,2022 Q4,66,68,97.06
24,Non-White,2023 Q1,106,113,93.81
25,Non-White,2023 Q2,105,110,95.45
26,Non-White,2023 Q3,86,93,92.47
27,Non-White,2023 Q4,110,114,96.49
28,Non-White,2024 Q1,245,252,97.22
29,White,2017 Q1,16,140,11.43
30,White,2017 Q2,9,130,6.92
31,White,2017 Q3,9,70,12.86
32,White,2017 Q4,6,100,6.0
33,White,2018 Q1,10,61,16.39
34,White,2018 Q2,7,61,11.48
35,White,2018 Q3,9,71,12.68
36,White,2018 Q4,7,60,11.67
37,White,2019 Q1,13,104,12.5
38,White,2019 Q2,7,118,5.93
39,White,2019 Q3,5,86,5.81
40,White,2019 Q4,4,71,5.63
41,White,2020 Q2,5,33,15.15
42,White,2020 Q3,1,8,12.5
43,White,2020 Q4,2,5,40.0
44,White,2021 Q1,4,13,30.77
45,White,2021 Q2,2,8,25.0
46,White,2021 Q3,2,8,25.0
47,White,2021 Q4,1,10,10.0
48,White,2022 Q1,1,17,5.88
49,White,2022 Q2,5,25,20.0
50,White,2022 Q3,3,40,7.5
51,White,2022 Q4,2,68,2.94
52,White,2023 Q1,7,113,6.19
53,White,2023 Q2,5,110,4.55
54,White,2023 Q3,7,93,7.53
55,White,2023 Q4,4,114,3.51
56,White,2024 Q1,7,252,2.78
