,precinct,pedestrian_ksi,total_jaywalking_summonses
0,1,814,9
2,5,630,8
3,6,453,9
4,7,455,27
6,9,470,49
8,10,585,6
10,13,813,11
12,14,996,23
14,17,880,5
16,18,1043,20
18,19,1045,6
19,20,539,2
20,23,495,28
22,24,368,12
23,25,588,42
25,26,297,4
26,28,482,41
27,30,349,19
29,32,527,18
31,33,474,59
33,34,597,6
34,40,1131,151
35,41,478,39
37,42,763,111
39,43,946,68
41,44,1265,122
43,45,629,2
44,46,1068,21
46,47,1226,23
47,48,787,82
49,49,829,21
51,50,595,2
52,52,1087,61
54,60,755,52
56,61,1338,14
58,62,1224,4
60,63,722,3
61,66,1505,2
62,67,1503,24
63,68,876,2
65,69,695,19
67,70,1459,46
69,71,1004,16
71,72,864,6
73,73,974,31
74,75,1889,45
76,76,260,112
78,77,847,15
79,78,629,10
81,79,849,107
83,81,654,40
84,83,787,18
86,84,647,49
88,88,476,28
90,90,1118,46
92,94,447,6
94,100,212,1
95,101,405,21
97,102,956,5
98,103,1218,43
100,104,1059,4
101,105,1039,9
103,106,897,21
105,107,1027,6
107,109,1839,14
109,110,1264,27
110,112,719,2
111,113,860,23
112,114,1360,34
114,115,1080,51
116,120,666,15
118,121,796,9
120,122,639,3
122,123,264,1
